,co2_mean,ch4_mean,co2_mean_fit,ch4_mean_fit
0,321.98,0.0,142.46014404296875,137.6153564453125
1,323.78,0.0,141.1527557373047,139.3147735595703
2,325.13,0.0,142.8314208984375,138.05702209472656
1,323.78,0.0,142.3223114013672,137.43988037109375
2,325.13,0.0,141.01364135742188,139.1428680419922
3,325.54,0.0,142.6954345703125,137.8812713623047
2,325.13,0.0,142.27059936523438,137.37246704101562
3,325.54,0.0,140.96141052246094,139.07687377929688
4,325.67,0.0,142.64450073242188,137.8138427734375
3,325.54,0.0,142.43772888183594,137.5839385986328
4,325.67,0.0,141.13006591796875,139.28414916992188
5,326.58,0.0,142.80955505371094,138.02572631835938
4,325.67,0.0,142.6966552734375,137.91139221191406
5,326.58,0.0,141.39137268066406,139.6051025390625
6,327.69,0.0,143.06520080566406,138.35386657714844
5,326.58,0.0,142.91259765625,138.1839599609375
6,327.69,0.0,141.6093292236328,139.87225341796875
7,327.3,0.0,143.27845764160156,138.6270751953125
6,327.69,0.0,142.98907470703125,138.2801055908203
7,327.3,0.0,141.68650817871094,139.96653747558594
8,326.13,0.0,143.3540496826172,138.72344970703125
7,327.3,0.0,143.032470703125,138.333740234375
8,326.13,0.0,141.7302703857422,140.01918029785156
9,324.91,0.0,143.39694213867188,138.7772979736328
8,326.13,0.0,143.21737670898438,138.5654754638672
9,324.91,0.0,141.91696166992188,140.2462921142578
10,322.98,0.0,143.57958984375,139.00970458984375
9,324.91,0.0,143.4298095703125,138.8326873779297
10,322.98,0.0,142.13140869140625,140.50820922851562
11,322.65,0.0,143.7893524169922,139.2776641845703
10,322.98,0.0,143.3166046142578,138.6919708251953
11,322.65,0.0,142.01718139648438,140.37017822265625
12,324.06,0.0,143.67747497558594,139.136474609375
11,322.65,0.0,143.05953979492188,138.37025451660156
12,324.06,0.0,141.75772094726562,140.05470275878906
13,325.56,0.0,143.42340087890625,138.8137664794922
12,324.06,0.0,142.8252716064453,138.0765380859375
13,325.56,0.0,141.52125549316406,139.7667999267578
14,332.29,0.0,143.19203186035156,138.51922607421875
13,325.56,0.0,142.5497589111328,137.72744750976562
14,332.29,0.0,141.2431182861328,139.4247589111328
